-----NEW TEST-------
frequency:    2.388900 Hz
start time    246103 ms
stop time     250289 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
200,250,0,456.78,128.78,328
201,250,0,460.06,131.06,329
202,250,0,463.20,133.20,330
203,250,0,466.17,136.17,330
204,250,0,468.99,131.99,337
205,250,0,471.65,132.65,339
206,250,0,474.14,135.14,339
207,250,0,476.47,139.47,337
208,250,0,478.63,140.63,338
209,250,0,480.63,138.63,342
210,250,0,482.45,138.45,344
211,250,0,484.10,142.10,342
212,250,0,485.58,142.58,343
213,250,0,486.88,143.88,343
214,250,0,488.00,140.00,348
215,250,0,488.95,140.95,348
216,250,0,489.72,139.72,350
217,250,0,490.31,139.31,351
218,250,0,490.72,138.72,352
219,250,0,490.95,138.95,352
220,250,0,491.00,137.00,354
221,250,0,490.86,135.86,355
222,250,0,490.55,133.55,357
223,250,0,490.06,132.06,358
224,250,0,489.39,127.39,362
225,250,0,488.54,122.54,366
226,250,0,487.52,124.52,363
227,250,0,486.31,119.31,367
228,250,0,484.93,117.93,367
229,250,0,483.38,114.38,369
230,250,0,481.65,112.65,369
231,250,0,479.75,108.75,371
232,250,0,477.68,106.68,371
233,250,0,475.44,101.44,374
234,250,0,473.04,98.04,375
235,250,0,470.47,93.47,377
236,250,0,467.74,91.74,376
237,250,0,464.85,89.85,375
238,250,0,461.81,82.81,379
239,250,0,458.61,78.61,380
240,250,0,455.25,73.25,382
241,250,0,451.76,70.76,381
242,250,0,448.11,68.11,380
243,250,0,444.33,62.33,382
244,250,0,440.40,57.40,383
245,250,0,436.34,48.34,388
246,250,0,432.16,42.16,390
247,250,0,427.84,31.84,396
248,250,0,423.40,28.40,395
249,248,0,418.84,24.84,394
250,171,0,414.17,17.17,397
251,113,0,409.38,11.38,398
252,74,0,404.49,7.49,397
253,24,0,399.50,2.50,397
254,0,35,394.40,-3.60,398
255,0,87,389.22,-8.78,398
256,0,150,383.94,-15.06,399
257,0,184,378.59,-18.41,397
258,0,198,373.15,-19.85,393
259,0,250,367.64,-29.36,397
260,0,250,362.06,-34.94,397
261,0,250,356.42,-42.58,399
262,0,250,350.72,-40.28,391
263,0,250,344.96,-43.04,388
264,0,250,339.15,-48.85,388
265,0,250,333.31,-52.69,386
266,0,250,327.42,-56.58,384
267,0,250,321.50,-60.50,382
268,0,250,315.55,-63.45,379
269,0,250,309.59,-69.41,379
270,0,250,303.60,-74.40,378
271,0,250,297.60,-77.40,375
272,0,250,291.60,-83.40,375
273,0,250,285.60,-89.40,375
274,0,250,279.60,-92.40,372
275,0,250,273.61,-94.39,368
276,0,250,267.64,-100.36,368
277,0,250,261.69,-107.31,369
278,0,250,255.76,-105.24,361
279,0,250,249.87,-114.13,364
280,0,250,244.01,-120.99,365
281,0,250,238.20,-120.80,359
282,0,250,232.43,-124.57,357
283,0,250,226.72,-132.28,359
284,0,250,221.06,-135.94,357
285,0,250,215.47,-136.53,352
286,0,250,209.95,-142.05,352
287,0,250,204.49,-147.51,352
288,0,250,199.12,-151.88,351
289,0,250,193.83,-157.17,351
290,0,250,188.63,-160.37,349
291,0,250,183.52,-163.48,347
292,0,250,178.50,-170.50,349
293,0,250,173.59,-169.41,343
294,0,250,168.78,-173.22,342
295,0,250,164.09,-179.91,344
296,0,250,159.50,-183.50,343
297,0,250,155.04,-185.96,341
298,0,250,150.70,-189.30,340
299,0,250,146.48,-192.52,339
300,0,250,142.40,-196.60,339
301,0,250,138.45,-201.55,340
302,0,250,134.63,-206.37,341
303,0,250,130.96,-205.04,336
304,0,250,127.43,-206.57,334
305,0,250,124.05,-205.95,330
306,0,250,120.82,-216.18,337
307,0,250,117.74,-210.26,328
308,0,250,114.82,-216.18,331
309,0,250,112.06,-217.94,330
310,0,250,109.46,-222.54,332
311,0,250,107.02,-215.98,323
312,0,250,104.75,-218.25,323
313,0,250,102.65,-219.35,322
314,0,250,100.71,-219.29,320
315,0,250,98.95,-219.05,318
316,0,250,97.36,-219.64,317
317,0,250,95.95,-222.05,318
318,0,250,94.71,-224.29,319
319,0,250,93.65,-224.35,318
320,0,250,92.76,-223.24,316
321,0,250,92.06,-222.94,315
322,0,250,91.53,-223.47,315
323,0,250,91.18,-221.82,313
324,0,250,91.02,-222.98,314
325,0,250,91.03,-219.97,311
326,0,250,91.22,-216.78,308
327,0,250,91.60,-217.40,309
328,0,250,92.15,-214.85,307
329,0,250,92.88,-213.12,306
330,0,250,93.79,-214.21,308
331,0,250,94.88,-211.12,306
332,0,250,96.15,-207.85,304
333,0,250,97.59,-206.41,304
334,0,250,99.21,-206.79,306
335,0,250,100.99,-200.01,301
336,0,250,102.95,-200.05,303
337,0,250,105.08,-197.92,303
338,0,250,107.38,-195.62,303
339,0,250,109.84,-188.16,298
340,0,250,112.47,-186.53,299
341,0,250,115.25,-181.75,297
342,0,250,118.20,-178.80,297
343,0,250,121.30,-172.70,294
344,0,250,124.55,-167.45,292
345,0,250,127.95,-164.05,292
346,0,250,131.50,-159.50,291
347,0,250,135.20,-157.80,293
348,0,250,139.03,-149.97,289
349,0,250,143.00,-147.00,290
350,0,250,147.11,-138.89,286
351,0,250,151.34,-137.66,289
352,0,250,155.70,-131.30,287
353,0,250,160.18,-125.82,286
354,0,250,164.78,-124.22,289
355,0,250,169.50,-114.50,284
356,0,250,174.32,-111.68,286
357,0,250,179.25,-104.75,284
358,0,250,184.28,-97.72,282
359,0,250,189.40,-93.60,283
360,0,250,194.62,-87.38,282
361,0,250,199.92,-82.08,282
362,0,250,205.31,-76.69,282
363,0,250,210.77,-69.23,280
364,0,250,216.30,-62.70,279
365,0,250,221.91,-57.09,279
366,0,250,227.57,-53.43,281
367,0,250,233.29,-46.71,280
368,0,250,239.07,-37.93,277
369,0,250,244.89,-31.11,276
