-----NEW TEST-------
frequency:    3.000000 Hz
start time    256176 ms
stop time     259509 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
198,0,250,166.04,-146.96,313
199,0,250,172.01,-141.99,314
200,0,250,178.16,-132.84,311
201,0,250,184.46,-129.54,314
202,0,250,190.92,-118.08,309
203,0,250,197.52,-114.48,312
204,0,250,204.25,-102.75,307
205,0,250,211.10,-95.90,307
206,0,250,218.07,-89.93,308
207,0,250,225.14,-80.86,306
208,0,250,232.31,-72.69,305
209,0,250,239.55,-63.45,303
210,0,250,246.88,-54.12,301
211,0,250,254.26,-49.74,304
212,0,250,261.70,-35.30,297
213,0,250,269.18,-32.82,302
214,0,183,276.69,-18.31,295
215,0,107,284.21,-10.79,295
216,0,52,291.75,-5.25,297
217,62,0,299.29,6.29,293
218,118,0,306.82,11.82,295
219,163,0,314.32,16.32,298
220,250,0,321.79,27.79,294
221,250,0,329.22,36.22,293
222,250,0,336.59,39.59,297
223,250,0,343.90,46.90,297
224,250,0,351.13,47.13,304
225,250,0,358.28,53.28,305
226,250,0,365.33,60.33,305
227,250,0,372.28,65.28,307
228,250,0,379.11,72.11,307
229,250,0,385.81,76.81,309
230,250,0,392.38,79.38,313
231,250,0,398.81,81.81,317
232,250,0,405.08,89.08,316
233,250,0,411.19,93.19,318
234,250,0,417.13,97.13,320
235,250,0,422.90,102.90,320
236,250,0,428.47,104.47,324
237,250,0,433.85,105.85,328
238,250,0,439.02,107.02,332
239,250,0,443.99,108.99,335
240,250,0,448.73,113.73,335
241,250,0,453.26,118.26,335
242,250,0,457.55,120.55,337
243,250,0,461.60,124.60,337
244,250,0,465.42,122.42,343
245,250,0,468.98,128.98,340
246,250,0,472.29,130.29,342
247,250,0,475.35,133.35,342
248,250,0,478.14,135.14,343
249,250,0,480.67,137.67,343
250,250,0,482.93,135.93,347
251,250,0,484.91,136.91,348
252,250,0,486.62,136.62,350
253,250,0,488.05,139.05,349
254,250,0,489.20,136.20,353
255,250,0,490.07,139.07,351
256,250,0,490.65,136.65,354
257,250,0,490.96,134.96,356
258,250,0,490.97,132.97,358
259,250,0,490.71,132.71,358
260,250,0,490.16,126.16,364
261,250,0,489.32,122.32,367
262,250,0,488.21,124.21,364
263,250,0,486.81,120.81,366
264,250,0,485.14,117.14,368
265,250,0,483.19,114.19,369
266,250,0,480.97,110.97,370
267,250,0,478.47,105.47,373
268,250,0,475.71,100.71,375
269,250,0,472.69,96.69,376
270,250,0,469.41,91.41,378
271,250,0,465.88,86.88,379
272,250,0,462.09,82.09,380
273,250,0,458.07,76.07,382
274,250,0,453.81,71.81,382
275,250,0,449.31,66.31,383
276,250,0,444.59,61.59,383
277,250,0,439.65,55.65,384
278,250,0,434.51,49.51,385
279,250,0,429.15,41.15,388
280,250,0,423.60,27.60,396
281,250,0,417.86,26.86,391
282,189,0,411.95,18.95,393
283,68,0,405.86,6.86,399
284,6,0,399.60,0.60,399
285,0,58,393.20,-5.80,399
286,0,113,386.64,-11.36,398
287,0,200,379.95,-20.05,400
288,0,248,373.14,-24.86,398
289,0,250,366.21,-29.79,396
290,0,250,359.17,-40.83,400
291,0,250,352.03,-46.97,399
292,0,250,344.81,-48.19,393
293,0,250,337.51,-52.49,390
294,0,250,330.15,-60.85,391
295,0,250,322.72,-71.28,394
296,0,250,315.26,-69.74,385
297,0,250,307.76,-78.24,386
298,0,250,300.23,-81.77,382
299,0,250,292.70,-91.30,384
300,0,250,285.16,-95.84,381
301,0,250,277.63,-100.37,378
302,0,250,270.11,-107.89,378
303,0,250,262.63,-113.37,376
304,0,250,255.19,-119.81,375
305,0,250,247.80,-125.20,373
306,0,250,240.47,-132.53,373
307,0,250,233.21,-136.79,370
308,0,250,226.03,-143.97,370
309,0,250,218.95,-151.05,370
310,0,250,211.97,-154.03,366
311,0,250,205.10,-159.90,365
312,0,250,198.35,-167.65,366
313,0,250,191.74,-171.26,363
314,0,250,185.26,-175.74,361
315,0,250,178.94,-181.06,360
316,0,250,172.77,-185.23,358
317,0,250,166.78,-188.22,355
318,0,250,160.96,-196.04,357
319,0,250,155.32,-198.68,354
320,0,250,149.88,-201.12,351
321,0,250,144.64,-208.36,353
322,0,250,139.60,-209.40,349
323,0,250,134.78,-214.22,349
324,0,250,130.19,-217.81,348
325,0,250,125.82,-219.18,345
326,0,250,121.69,-222.31,344
327,0,250,117.79,-227.21,345
328,0,250,114.15,-231.85,346
329,0,250,110.75,-232.25,343
330,0,250,107.61,-235.39,343
331,0,250,104.74,-236.26,341
332,0,250,102.12,-238.88,341
333,0,250,99.78,-241.22,341
334,0,250,97.71,-241.29,339
335,0,250,95.91,-245.09,341
336,0,250,94.39,-245.61,340
337,0,250,93.14,-244.86,338
338,0,250,92.18,-242.82,335
339,0,250,91.51,-244.49,336
340,0,250,91.11,-237.89,329
341,0,250,91.00,-245.00,336
342,0,250,91.18,-240.82,332
343,0,250,91.63,-240.37,332
344,0,250,92.38,-236.62,329
345,0,250,93.40,-235.60,329
346,0,250,94.70,-227.30,322
347,0,250,96.29,-225.71,322
348,0,250,98.15,-223.85,322
349,0,250,100.28,-222.72,323
350,0,250,102.69,-215.31,318
351,0,250,105.36,-212.64,318
352,0,250,108.30,-210.70,319
353,0,250,111.50,-203.50,315
354,0,250,114.95,-202.05,317
355,0,250,118.65,-195.35,314
356,0,250,122.60,-190.40,313
357,0,250,126.78,-185.22,312
358,0,250,131.20,-179.80,311
359,0,250,135.85,-175.15,311
360,0,250,140.72,-167.28,308
361,0,250,145.80,-165.20,311
362,0,250,151.09,-157.91,309
363,0,250,156.57,-151.43,308
364,0,250,162.25,-145.75,308
365,0,250,168.11,-138.89,307
366,0,250,174.15,-129.85,304
367,0,250,180.35,-126.65,307
368,0,250,186.71,-116.29,303
369,0,250,193.21,-110.79,304
370,0,250,199.86,-97.14,297
371,0,250,206.63,-91.37,298
372,0,250,213.53,-83.47,297
373,0,250,220.53,-75.47,296
374,0,250,227.64,-66.36,294
375,0,250,234.83,-61.17,296
376,0,250,242.11,-52.89,295
377,0,250,249.45,-42.55,292
378,0,250,256.86,-34.14,291
379,0,236,264.31,-23.69,288
380,0,161,271.80,-16.20,288
381,0,76,279.32,-7.68,287
382,0,1,286.85,-0.15,287
383,63,0,294.39,6.39,288
384,139,0,301.93,13.93,288
385,204,0,309.45,20.45,289
386,250,0,316.94,28.94,288
387,250,0,324.40,37.40,287
388,250,0,331.81,40.81,291
389,250,0,339.16,46.16,293
390,250,0,346.44,54.44,292
391,250,0,353.65,54.65,299
392,250,0,360.76,63.76,297
393,250,0,367.78,65.78,302
394,250,0,374.68,68.68,306
395,250,0,381.47,74.47,307
396,250,0,388.13,82.13,306
397,250,0,394.65,85.65,309
398,250,0,401.02,90.02,311
399,250,0,407.24,95.24,312
400,250,0,413.29,97.29,316
401,250,0,419.17,102.17,317
402,250,0,424.87,106.87,318
403,250,0,430.37,111.37,319
404,250,0,435.68,114.68,321
405,250,0,440.78,117.78,323
406,250,0,445.67,119.67,326
407,250,0,450.34,121.34,329
408,250,0,454.79,124.79,330
409,250,0,459.00,122.00,337
410,250,0,462.97,126.97,336
411,250,0,466.69,125.69,341
412,250,0,470.17,131.17,339
413,250,0,473.39,132.39,341
414,250,0,476.36,133.36,343
415,250,0,479.06,136.06,343
416,250,0,481.49,139.49,342
417,250,0,483.65,138.65,345
418,250,0,485.54,139.54,346
419,250,0,487.15,139.15,348
420,250,0,488.48,138.48,350
421,250,0,489.53,142.53,347
422,250,0,490.30,139.30,351
423,250,0,490.79,139.79,351
424,250,0,490.99,133.99,357
425,250,0,490.91,135.91,355
426,250,0,490.55,129.55,361
427,250,0,489.90,129.90,360
428,250,0,488.96,130.96,358
429,250,0,487.75,123.75,364
430,250,0,486.26,118.26,368
431,250,0,484.49,117.49,367
432,250,0,482.44,113.44,369
433,250,0,480.12,109.12,371
434,250,0,477.54,102.54,375
435,250,0,474.68,100.68,374
436,250,0,471.57,95.57,376
437,250,0,468.20,91.20,377
438,250,0,464.58,86.58,378
439,250,0,460.71,81.71,379
440,250,0,456.60,77.60,379
441,250,0,452.26,71.26,381
442,250,0,447.68,64.68,383
443,250,0,442.89,57.89,385
444,250,0,437.88,52.88,385
445,250,0,432.65,46.65,386
446,250,0,427.23,39.23,388
447,250,0,421.62,32.62,389
448,198,0,415.81,19.81,396
449,158,0,409.83,15.83,394
450,56,0,403.69,5.69,398
451,13,0,397.38,1.38,396
452,0,100,390.92,-10.08,401
453,0,126,384.32,-12.68,397
454,0,204,377.58,-20.42,398
455,0,250,370.73,-27.27,398
456,0,250,363.75,-37.25,401
457,0,250,356.68,-41.32,398
458,0,250,349.51,-43.49,393
459,0,250,342.26,-51.74,394
460,0,250,334.94,-56.06,391
461,0,250,327.55,-62.45,390
462,0,250,320.12,-66.88,387
463,0,250,312.64,-72.36,385
464,0,250,305.13,-78.87,384
465,0,250,297.60,-81.40,379
466,0,250,290.06,-89.94,380
467,0,250,282.52,-96.48,379
468,0,250,274.99,-102.01,377
469,0,250,267.49,-109.51,377
470,0,250,260.02,-115.98,376
471,0,250,252.59,-118.41,371
472,0,250,245.22,-127.78,373
473,0,250,237.92,-133.08,371
474,0,250,230.69,-136.31,367
475,0,250,223.54,-145.46,369
476,0,250,216.49,-150.51,367
477,0,250,209.55,-152.45,362
478,0,250,202.72,-159.28,362
479,0,250,196.02,-162.98,359
480,0,250,189.45,-173.55,363
481,0,250,183.03,-172.97,356
482,0,250,176.76,-180.24,357
483,0,250,170.65,-184.35,355
484,0,250,164.72,-187.28,352
485,0,250,158.96,-192.04,351
486,0,250,153.39,-195.61,349
487,0,250,148.02,-200.98,349
488,0,250,142.85,-207.15,350
489,0,250,137.89,-209.11,347
490,0,250,133.15,-215.85,349
491,0,250,128.63,-216.37,345
492,0,250,124.35,-217.65,342
493,0,250,120.30,-223.70,344
494,0,250,116.49,-227.51,344
495,0,250,112.93,-231.07,344
496,0,250,109.63,-234.37,344
497,0,250,106.58,-234.42,341
498,0,250,103.79,-237.21,341
499,0,250,101.27,-238.73,340
500,0,250,99.02,-236.98,336
501,0,250,97.04,-240.96,338
502,0,250,95.34,-239.66,335
503,0,250,93.92,-242.08,336
504,0,250,92.78,-241.22,334
505,0,250,91.91,-240.09,332
506,0,250,91.34,-237.66,329
507,0,250,91.04,-235.96,327
508,0,250,91.03,-229.97,321
509,0,250,91.30,-232.70,324
510,0,250,91.86,-229.14,321
511,0,250,92.70,-227.30,320
512,0,250,93.82,-227.18,321
513,0,250,95.23,-223.77,319
514,0,250,96.91,-219.09,316
515,0,250,98.86,-217.14,316
516,0,250,101.09,-216.91,318
517,0,250,103.59,-213.41,317
518,0,250,106.36,-206.64,313
519,0,250,109.39,-201.61,311
520,0,250,112.67,-198.33,311
521,0,250,116.21,-194.79,311
522,0,250,120.00,-190.00,310
523,0,250,124.03,-187.97,312
524,0,250,128.30,-181.70,310
525,0,250,132.80,-175.20,308
526,0,250,137.53,-168.47,306
527,0,250,142.47,-158.53,301
528,0,250,147.63,-157.37,305
529,0,250,152.98,-153.02,306
530,0,250,158.54,-143.46,302
531,0,250,164.28,-135.72,300
532,0,250,170.20,-125.80,296
533,0,250,176.30,-122.70,299
534,0,250,182.55,-111.45,294
535,0,250,188.97,-105.03,294
536,0,250,195.52,-96.48,292
537,0,250,202.21,-89.79,292
538,0,250,209.03,-80.97,290
539,0,250,215.97,-76.03,292
540,0,250,223.01,-66.99,290
541,0,250,230.15,-59.85,290
542,0,250,237.37,-48.63,286
543,0,250,244.67,-43.33,288
544,0,250,252.04,-33.96,286
545,0,250,259.46,-26.54,286
546,0,180,266.93,-18.07,285
547,0,85,274.43,-8.57,283
548,0,0,281.95,-0.05,282
549,84,0,289.49,8.49,281
550,100,0,297.03,10.03,287
551,215,0,304.56,21.56,283
552,250,0,312.07,28.07,284
553,250,0,319.56,33.56,286
554,250,0,327.00,43.00,284
555,250,0,334.39,48.39,286
556,250,0,341.72,54.72,287
557,250,0,348.97,62.97,286
558,250,0,356.15,63.15,293
559,250,0,363.23,70.23,293
560,250,0,370.21,71.21,299
561,250,0,377.07,80.07,297
562,250,0,383.82,81.82,302
563,250,0,390.43,82.43,308
564,250,0,396.90,89.90,307
565,250,0,403.22,97.22,306
566,250,0,409.38,98.38,311
567,250,0,415.37,102.37,313
568,250,0,421.19,107.19,314
569,250,0,426.82,110.82,316
570,250,0,432.25,114.25,318
571,250,0,437.49,116.49,321
572,250,0,442.52,121.52,321
573,250,0,447.33,126.33,321
574,250,0,451.92,128.92,323
575,250,0,456.29,130.29,326
576,250,0,460.41,131.41,329
577,250,0,464.30,132.30,332
578,250,0,467.94,131.94,336
579,250,0,471.33,133.33,338
580,250,0,474.46,135.46,339
581,250,0,477.33,139.33,338
582,250,0,479.94,138.94,341
583,250,0,482.28,142.28,340
584,250,0,484.34,142.34,342
585,250,0,486.13,140.13,346
586,250,0,487.65,143.65,344
587,250,0,488.88,143.88,345
588,250,0,489.84,139.84,350
589,250,0,490.51,139.51,351
590,250,0,490.89,139.89,351
591,250,0,491.00,138.00,353
592,250,0,490.82,139.82,351
593,250,0,490.35,134.35,356
594,250,0,489.60,129.60,360
595,250,0,488.57,126.57,362
596,250,0,487.26,122.26,365
597,250,0,485.67,121.67,364
