-----NEW TEST-------
frequency:    0.861110 Hz
start time    91420 ms
stop time     103032 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
1,250,0,325.78,80.78,245
2,250,0,323.64,76.64,247
3,250,0,321.51,78.51,243
4,250,0,319.37,74.37,245
5,250,0,317.22,68.22,249
6,250,0,315.07,62.07,253
7,250,0,312.92,61.92,251
8,250,0,310.77,59.77,251
9,250,0,308.62,54.62,254
10,250,0,306.46,49.46,257
11,250,0,304.30,45.30,259
12,250,0,302.14,43.14,259
13,250,0,299.98,35.98,264
14,250,0,297.82,29.82,268
15,250,0,295.65,26.65,269
16,250,0,293.49,27.49,266
17,193,0,291.32,19.32,272
18,141,0,289.16,14.16,275
19,119,0,287.00,12.00,275
20,78,0,284.83,7.83,277
21,46,0,282.67,4.67,278
22,15,0,280.51,1.51,279
23,0,16,278.35,-1.65,280
24,0,8,276.19,-0.81,277
25,0,59,274.03,-5.97,280
26,0,71,271.87,-7.13,279
27,0,72,269.72,-7.28,277
28,0,104,267.57,-10.43,278
29,0,145,265.42,-14.58,280
30,0,157,263.28,-15.72,279
31,0,168,261.14,-16.86,278
32,0,200,259.00,-20.00,279
33,0,231,256.86,-23.14,280
34,0,242,254.73,-24.27,279
35,0,250,252.61,-26.39,279
36,0,250,250.48,-27.52,278
37,0,250,248.37,-29.63,278
38,0,250,246.25,-28.75,275
39,0,250,244.15,-31.85,276
40,0,250,242.05,-32.95,275
41,0,250,239.95,-34.05,274
42,0,250,237.86,-35.14,273
43,0,250,235.78,-34.22,270
44,0,250,233.70,-34.30,268
45,0,250,231.63,-38.37,270
46,0,250,229.57,-41.43,271
47,0,250,227.51,-35.49,263
48,0,250,225.46,-41.54,267
49,0,250,223.42,-38.58,262
50,0,250,221.39,-38.61,260
51,0,250,219.36,-40.64,260
52,0,250,217.35,-41.65,259
53,0,250,215.34,-40.66,256
54,0,250,213.34,-45.66,259
55,0,250,211.35,-45.65,257
56,0,250,209.37,-46.63,256
57,0,250,207.40,-47.60,255
58,0,250,205.44,-49.56,255
59,0,250,203.49,-49.51,253
60,0,250,201.54,-51.46,253
61,0,250,199.61,-52.39,252
62,0,250,197.69,-52.31,250
63,0,250,195.79,-55.21,251
64,0,250,193.89,-57.11,251
65,0,250,192.00,-57.00,249
66,0,250,190.13,-58.87,249
67,0,250,188.26,-57.74,246
68,0,250,186.41,-62.59,249
69,0,250,184.57,-59.43,244
70,0,250,182.75,-62.25,245
71,0,250,180.93,-62.07,243
72,0,250,179.13,-64.87,244
73,0,250,177.35,-63.65,241
74,0,250,175.57,-67.43,243
75,0,250,173.81,-68.19,242
76,0,250,172.06,-69.94,242
77,0,250,170.33,-68.67,239
78,0,250,168.61,-68.39,237
79,0,250,166.91,-69.09,236
80,0,250,165.22,-72.78,238
81,0,250,163.54,-69.46,233
82,0,250,161.88,-71.12,233
83,0,250,160.24,-71.76,232
84,0,250,158.61,-70.39,229
85,0,250,156.99,-73.01,230
86,0,250,155.39,-71.61,227
87,0,250,153.81,-72.19,226
88,0,250,152.24,-72.76,225
89,0,250,150.69,-77.31,228
90,0,250,149.16,-76.84,226
91,0,250,147.64,-76.36,224
92,0,250,146.14,-77.86,224
93,0,250,144.66,-81.34,226
94,0,250,143.19,-77.81,221
95,0,250,141.74,-82.26,224
96,0,250,140.31,-81.69,222
97,0,250,138.89,-80.11,219
98,0,250,137.50,-85.50,223
99,0,250,136.12,-85.88,222
100,0,250,134.76,-84.24,219
101,0,250,133.42,-88.58,222
102,0,250,132.09,-84.91,217
103,0,250,130.79,-87.21,218
104,0,250,129.50,-86.50,216
105,0,250,128.24,-88.76,217
106,0,250,126.99,-90.01,217
107,0,250,125.76,-91.24,217
108,0,250,124.55,-94.45,219
109,0,250,123.36,-95.64,219
110,0,250,122.19,-93.81,216
111,0,250,121.04,-93.96,215
112,0,250,119.91,-96.09,216
113,0,250,118.80,-96.20,215
114,0,250,117.70,-96.30,214
115,0,250,116.63,-99.37,216
116,0,250,115.58,-98.42,214
117,0,250,114.56,-98.44,213
118,0,250,113.55,-97.45,211
119,0,250,112.56,-98.44,211
120,0,250,111.59,-99.41,211
121,0,250,110.65,-98.35,209
122,0,250,109.72,-100.28,210
123,0,250,108.82,-100.18,209
124,0,250,107.93,-95.07,203
125,0,250,107.07,-99.93,207
126,0,250,106.23,-100.77,207
127,0,250,105.42,-100.58,206
128,0,250,104.62,-100.38,205
129,0,250,103.85,-96.15,200
130,0,250,103.09,-95.91,199
131,0,250,102.36,-96.64,199
132,0,250,101.66,-96.34,198
133,0,250,100.97,-99.03,200
134,0,250,100.31,-97.69,198
135,0,250,99.67,-99.33,199
136,0,250,99.05,-95.95,195
137,0,250,98.45,-96.55,195
138,0,250,97.88,-96.12,194
139,0,250,97.32,-94.68,192
140,0,250,96.80,-96.20,193
141,0,250,96.29,-95.71,192
142,0,250,95.81,-96.19,192
143,0,250,95.35,-96.65,192
144,0,250,94.91,-95.09,190
145,0,250,94.49,-95.51,190
146,0,250,94.10,-93.90,188
147,0,250,93.74,-96.26,190
148,0,250,93.39,-94.61,188
149,0,250,93.07,-92.93,186
150,0,250,92.77,-96.23,189
151,0,250,92.49,-95.51,188
152,0,250,92.24,-92.76,185
153,0,250,92.01,-95.99,188
154,0,250,91.81,-94.19,186
155,0,250,91.62,-93.38,185
156,0,250,91.46,-93.54,185
157,0,250,91.33,-89.67,181
158,0,250,91.22,-90.78,182
159,0,250,91.13,-90.87,182
160,0,250,91.06,-91.94,183
161,0,250,91.02,-92.98,184
162,0,250,91.00,-90.00,181
163,0,250,91.01,-90.99,182
164,0,250,91.03,-90.97,182
165,0,250,91.09,-89.91,181
166,0,250,91.16,-87.84,179
167,0,250,91.26,-84.74,176
168,0,250,91.38,-85.62,177
169,0,250,91.53,-82.47,174
170,0,250,91.69,-83.31,175
171,0,250,91.89,-86.11,178
172,0,250,92.10,-80.90,173
173,0,250,92.34,-81.66,174
174,0,250,92.60,-84.40,177
175,0,250,92.89,-83.11,176
176,0,250,93.19,-75.81,169
177,0,250,93.53,-74.47,168
178,0,250,93.88,-72.12,166
179,0,250,94.26,-73.74,168
180,0,250,94.66,-73.34,168
181,0,250,95.08,-70.92,166
182,0,250,95.53,-68.47,164
183,0,250,96.00,-68.00,164
184,0,250,96.49,-69.51,166
185,0,250,97.00,-67.00,164
186,0,250,97.54,-66.46,164
187,0,250,98.10,-63.90,162
188,0,250,98.69,-64.31,163
189,0,250,99.29,-64.71,164
190,0,250,99.92,-63.08,163
191,0,250,100.57,-61.43,162
192,0,250,101.24,-61.76,163
193,0,250,101.94,-62.06,164
194,0,250,102.65,-57.35,160
195,0,250,103.39,-56.61,160
196,0,250,104.15,-56.85,161
197,0,250,104.94,-55.06,160
198,0,250,105.74,-54.26,160
199,0,250,106.57,-53.43,160
200,0,250,107.42,-50.58,158
201,0,250,108.29,-52.71,161
202,0,250,109.18,-47.82,157
203,0,250,110.09,-46.91,157
204,0,250,111.02,-46.98,158
205,0,250,111.98,-43.02,155
206,0,250,112.95,-43.05,156
207,0,250,113.95,-43.05,157
208,0,250,114.96,-42.04,157
209,0,250,116.00,-41.00,157
210,0,250,117.06,-35.94,153
211,0,250,118.14,-38.86,157
212,0,250,119.24,-34.76,154
213,0,250,120.36,-33.64,154
214,0,250,121.49,-32.51,154
215,0,250,122.65,-30.35,153
216,0,250,123.83,-29.17,153
217,0,250,125.03,-27.97,153
218,0,250,126.25,-25.75,152
219,0,235,127.48,-23.52,151
220,0,250,128.74,-25.26,154
221,0,209,130.01,-20.99,151
222,0,186,131.31,-18.69,150
223,0,163,132.62,-16.38,149
224,0,160,133.95,-16.05,150
225,0,156,135.30,-15.70,151
226,0,113,136.67,-11.33,148
227,0,119,138.05,-11.95,150
228,0,95,139.46,-9.54,149
229,0,81,140.88,-8.12,149
230,0,86,142.32,-8.68,151
231,0,62,143.77,-6.23,150
232,0,37,145.25,-3.75,149
233,0,22,146.74,-2.26,149
234,0,37,148.25,-3.75,152
235,0,12,149.77,-1.23,151
236,33,0,151.31,3.31,148
237,18,0,152.87,1.87,151
238,34,0,154.44,3.44,151
239,50,0,156.03,5.03,151
240,76,0,157.64,7.64,150
241,82,0,159.26,8.26,151
242,108,0,160.89,10.89,150
243,125,0,162.54,12.54,150
244,172,0,164.21,17.21,147
245,148,0,165.89,14.89,151
246,175,0,167.59,17.59,150
247,202,0,169.30,20.30,149
248,190,0,171.02,19.02,152
249,187,0,172.76,18.76,154
250,225,0,174.51,22.51,152
251,222,0,176.28,22.28,154
252,250,0,178.06,27.06,151
253,248,0,179.85,24.85,155
254,246,0,181.66,24.66,157
255,250,0,183.48,28.48,155
256,250,0,185.31,29.31,156
257,250,0,187.15,28.15,159
258,250,0,189.01,29.01,160
259,250,0,190.88,29.88,161
260,250,0,192.75,31.75,161
261,250,0,194.65,30.65,164
262,250,0,196.55,30.55,166
263,250,0,198.46,31.46,167
264,243,0,200.39,24.39,176
265,250,0,202.32,25.32,177
266,242,0,204.27,24.27,180
267,250,0,206.22,29.22,177
268,250,0,208.19,29.19,179
269,250,0,210.16,27.16,183
270,250,0,212.14,27.14,185
271,250,0,214.14,27.14,187
272,250,0,216.14,29.14,187
273,250,0,218.15,28.15,190
274,250,0,220.17,28.17,192
275,250,0,222.20,30.20,192
276,250,0,224.24,29.24,195
277,250,0,226.28,30.28,196
278,250,0,228.33,31.33,197
279,250,0,230.39,31.39,199
280,250,0,232.46,27.46,205
281,235,0,234.53,23.53,211
282,250,0,236.61,26.61,210
283,250,0,238.70,27.70,211
284,250,0,240.79,28.79,212
285,250,0,242.89,28.89,214
286,250,0,244.99,30.99,214
287,250,0,247.10,31.10,216
288,250,0,249.21,31.21,218
289,250,0,251.33,34.33,217
290,250,0,253.46,34.46,219
291,250,0,255.58,37.58,218
292,250,0,257.72,35.72,222
293,250,0,259.85,37.85,222
294,250,0,261.99,37.99,224
295,250,0,264.14,35.14,229
296,250,0,266.28,40.28,226
297,250,0,268.43,38.43,230
298,250,0,270.58,40.58,230
299,250,0,272.74,41.74,231
300,250,0,274.89,35.89,239
301,250,0,277.05,36.05,241
302,250,0,279.21,39.21,240
303,250,0,281.37,39.37,242
304,250,0,283.53,39.53,244
305,250,0,285.70,39.70,246
306,250,0,287.86,42.86,245
307,250,0,290.03,39.03,251
308,250,0,292.19,46.19,246
309,250,0,294.35,45.35,249
310,250,0,296.52,42.52,254
311,250,0,298.68,44.68,254
312,250,0,300.84,42.84,258
313,250,0,303.01,47.01,256
314,250,0,305.16,47.16,258
315,250,0,307.32,46.32,261
316,250,0,309.48,49.48,260
317,250,0,311.63,49.63,262
318,250,0,313.78,43.78,270
319,250,0,315.93,46.93,269
320,250,0,318.08,48.08,270
321,250,0,320.22,46.22,274
322,250,0,322.36,47.36,275
323,250,0,324.50,48.50,276
324,250,0,326.63,49.63,277
325,250,0,328.76,50.76,278
326,250,0,330.88,52.88,278
327,250,0,333.00,54.00,279
328,250,0,335.11,55.11,280
329,250,0,337.22,54.22,283
330,250,0,339.32,57.32,282
331,250,0,341.42,56.42,285
332,250,0,343.51,59.51,284
333,250,0,345.60,61.60,284
334,250,0,347.68,60.68,287
335,250,0,349.75,61.75,288
336,250,0,351.81,63.81,288
337,250,0,353.87,61.87,292
338,250,0,355.92,66.92,289
339,250,0,357.97,63.97,294
340,250,0,360.00,66.00,294
341,250,0,362.03,66.03,296
342,250,0,364.05,63.05,301
343,250,0,366.06,63.06,303
344,250,0,368.06,62.06,306
345,250,0,370.05,64.05,306
346,250,0,372.04,67.04,305
347,250,0,374.01,68.01,306
348,250,0,375.98,68.98,307
349,250,0,377.93,69.93,308
350,250,0,379.87,71.87,308
351,250,0,381.81,70.81,311
352,250,0,383.73,72.73,311
353,250,0,385.64,72.64,313
354,250,0,387.54,72.54,315
355,250,0,389.43,74.43,315
356,250,0,391.31,73.31,318
357,250,0,393.18,73.18,320
358,250,0,395.03,75.03,320
359,250,0,396.88,75.88,321
360,250,0,398.71,73.71,325
361,250,0,400.52,77.52,323
362,250,0,402.33,78.33,324
363,250,0,404.12,77.12,327
364,250,0,405.90,72.90,333
365,250,0,407.66,73.66,334
366,250,0,409.41,78.41,331
367,250,0,411.15,78.15,333
368,250,0,412.87,74.87,338
369,250,0,414.58,76.58,338
370,250,0,416.28,77.28,339
371,250,0,417.96,78.96,339
372,250,0,419.62,76.62,343
373,250,0,421.27,79.27,342
374,250,0,422.91,82.91,340
375,250,0,424.53,81.53,343
376,250,0,426.13,83.13,343
377,250,0,427.72,83.72,344
378,250,0,429.29,85.29,344
379,250,0,430.84,85.84,345
380,250,0,432.38,85.38,347
381,250,0,433.91,84.91,349
382,250,0,435.41,85.41,350
383,250,0,436.90,87.90,349
384,250,0,438.37,88.37,350
385,250,0,439.83,89.83,350
386,250,0,441.26,90.26,351
387,250,0,442.68,89.68,353
388,250,0,444.09,90.09,354
389,250,0,445.47,84.47,361
390,250,0,446.83,84.83,362
391,250,0,448.18,90.18,358
392,250,0,449.51,87.51,362
393,250,0,450.82,85.82,365
394,250,0,452.11,88.11,364
395,250,0,453.39,84.39,369
396,250,0,454.64,85.64,369
397,250,0,455.88,86.88,369
398,250,0,457.09,88.09,369
399,250,0,458.29,89.29,369
400,250,0,459.46,87.46,372
401,250,0,460.62,89.62,371
402,250,0,461.76,88.76,373
403,250,0,462.87,88.87,374
404,250,0,463.97,89.97,374
405,250,0,465.05,88.05,377
406,250,0,466.10,89.10,377
407,250,0,467.14,87.14,380
408,250,0,468.15,88.15,380
409,250,0,469.15,88.15,381
410,250,0,470.12,90.12,380
411,250,0,471.07,87.07,384
412,250,0,472.00,86.00,386
413,250,0,472.91,88.91,384
414,250,0,473.80,88.80,385
415,250,0,474.67,87.67,387
416,250,0,475.52,80.52,395
417,250,0,476.34,88.34,388
418,250,0,477.14,82.14,395
419,250,0,477.92,87.92,390
420,250,0,478.68,80.68,398
421,250,0,479.42,84.42,395
422,250,0,480.13,82.13,398
423,250,0,480.83,81.83,399
424,250,0,481.50,79.50,402
425,250,0,482.14,79.14,403
426,250,0,482.77,80.77,402
427,250,0,483.37,79.37,404
428,250,0,483.95,79.95,404
429,250,0,484.51,79.51,405
430,250,0,485.05,81.05,404
431,250,0,485.56,81.56,404
432,250,0,486.05,79.05,407
433,250,0,486.52,79.52,407
434,250,0,486.96,80.96,406
435,250,0,487.38,81.38,406
436,250,0,487.78,78.78,409
437,250,0,488.16,79.16,409
438,250,0,488.51,78.51,410
439,250,0,488.84,77.84,411
440,250,0,489.14,79.14,410
441,250,0,489.43,75.43,414
442,250,0,489.69,77.69,412
443,250,0,489.92,74.92,415
444,250,0,490.13,75.13,415
445,250,0,490.32,76.32,414
446,250,0,490.49,72.49,418
447,250,0,490.63,73.63,417
448,250,0,490.75,70.75,420
449,250,0,490.85,67.85,423
450,250,0,490.92,70.92,420
451,250,0,490.97,68.97,422
452,250,0,491.00,70.00,421
453,250,0,491.00,66.00,425
454,250,0,490.98,64.98,426
455,250,0,490.93,61.93,429
456,250,0,490.86,65.86,425
457,250,0,490.77,62.77,428
458,250,0,490.66,57.66,433
459,250,0,490.52,58.52,432
460,250,0,490.36,61.36,429
461,250,0,490.17,55.17,435
462,250,0,489.97,54.97,435
463,250,0,489.73,53.73,436
464,250,0,489.48,53.48,436
465,250,0,489.20,52.20,437
466,250,0,488.90,54.90,434
467,250,0,488.58,50.58,438
468,250,0,488.23,50.23,438
469,250,0,487.86,48.86,439
470,250,0,487.46,48.46,439
471,250,0,487.05,46.05,441
472,250,0,486.61,46.61,440
473,250,0,486.15,42.15,444
474,250,0,485.66,44.66,441
475,250,0,485.15,41.15,444
476,250,0,484.62,42.62,442
477,250,0,484.07,42.07,442
478,250,0,483.49,37.49,446
479,250,0,482.89,37.89,445
480,250,0,482.27,35.27,447
481,250,0,481.63,33.63,448
482,250,0,480.96,34.96,446
483,250,0,480.27,30.27,450
484,250,0,479.56,31.56,448
485,250,0,478.83,29.83,449
486,250,0,478.08,25.08,453
487,250,0,477.30,27.30,450
488,195,0,476.50,19.50,457
489,226,0,475.68,22.68,453
490,198,0,474.84,19.84,455
491,179,0,473.98,17.98,456
492,130,0,473.09,13.09,460
493,161,0,472.19,16.19,456
494,112,0,471.26,11.26,460
495,113,0,470.31,11.31,459
496,93,0,469.34,9.34,460
497,73,0,468.35,7.35,461
498,93,0,467.34,9.34,458
499,23,0,466.31,2.31,464
500,52,0,465.26,5.26,460
501,41,0,464.19,4.19,460
502,20,0,463.09,2.09,461
503,19,0,461.98,1.98,460
504,0,31,460.85,-3.15,464
505,0,43,459.70,-4.30,464
506,0,34,458.52,-3.48,462
507,0,16,457.33,-1.67,459
