=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.11.07 17:25:49 =~=~=~=~=~=~=~=~=~=~=~=
0,250,95.49,-277.51,373
0,250,106.86,-261.14,368
0,250,124.77,-238.23,363
0,250,148.58,-206.42,355
0,250,177.45,-171.55,349
0,250,210.34,-136.66,347
0,250,246.10,-96.90,343
0,250,283.45,-56.55,340
0,149,321.07,-14.93,336
250,0,419.56,74.56,345
250,0,446.01,89.01,357
250,0,466.97,92.97,374
250,0,481.67,95.67,386
250,0,489.61,88.61,401
250,0,490.50,80.50,410
250,0,484.31,64.31,420
250,0,471.25,37.25,434
77,0,451.80,7.80,444
0,163,426.64,-16.36,443
0,250,396.66,-50.34,447
0,250,362.94,-77.06,440
0,250,326.66,-105.34,432
0,250,289.11,-136.89,426
0,250,251.63,-164.37,416
0,250,215.55,-196.45,412
0,250,182.15,-222.85,405
0,250,152.61,-249.39,402
0,250,127.99,-269.01,397
0,250,109.14,-276.86,386
0,250,96.76,-283.24,380
0,250,91.27,-284.73,376
0,250,92.87,-278.13,371
0,250,101.50,-264.50,366
0,250,116.86,-239.14,356
0,250,138.40,-213.60,352
0,250,165.36,-182.64,348
0,250,196.77,-146.23,343
0,250,231.53,-110.47,342
0,250,268.41,-68.59,337
0,250,306.08,-27.92,334
192,0,343.22,19.22,324
250,0,378.50,53.50,325
250,0,410.68,69.68,341
250,0,438.61,85.61,353
250,0,461.31,92.31,369
250,0,477.95,96.95,381
250,0,487.96,89.96,398
250,0,490.98,84.98,406
250,0,486.90,70.90,416
250,0,475.87,44.87,431
172,0,458.27,17.27,441
0,162,434.74,-16.26,451
0,250,406.10,-45.90,452
0,250,373.38,-67.62,441
0,250,337.73,-96.27,434
0,250,300.43,-127.57,428
0,250,262.79,-156.21,419
0,250,226.15,-185.85,412
0,250,191.82,-215.18,407
0,250,161.00,-243.00,404
0,250,134.80,-264.20,399
0,250,114.15,-274.85,389
0,250,99.77,-284.23,384
0,250,92.18,-284.82,377
0,250,91.64,-280.36,372
0,250,98.19,-268.81,367
0,250,111.57,-247.43,359
0,250,131.33,-221.67,353
0,250,156.75,-190.25,347
0,250,186.94,-158.06,345
0,250,220.83,-122.17,343
0,250,257.20,-80.80,338
0,250,294.77,-40.23,335
42,0,332.21,4.21,328
250,0,368.19,36.19,332
250,0,401.43,62.43,339
250,0,430.74,80.74,350
250,0,455.10,88.10,367
250,0,473.63,95.63,378
250,0,485.68,91.68,394
250,0,490.82,84.82,406
250,0,488.87,74.87,414
250,0,479.89,51.89,428
250,0,464.21,25.21,439
0,66,442.37,-6.63,449
0,250,415.17,-35.83,451
0,250,383.56,-55.44,439
0,250,348.66,-86.34,435
0,250,311.72,-119.28,431
0,250,274.04,-146.96,421
0,250,236.96,-177.04,414
0,250,201.80,-208.20,410
0,250,169.81,-235.19,405
0,250,142.12,-258.88,401
0,250,119.71,-274.29,394
0,250,103.39,-281.61,385
0,250,93.72,-285.28,379
0,250,91.06,-281.94,373
0,250,95.49,-273.51,369
0,250,106.86,-257.14,364
0,250,124.77,-230.23,355
0,250,148.58,-200.42,349
0,250,177.45,-169.55,347
0,250,210.34,-132.66,343
0,250,246.10,-93.90,340
0,250,283.45,-53.55,337
0,99,321.07,-9.93,331
250,0,357.63,25.63,332
250,0,391.82,47.82,344
250,0,422.43,74.43,348
250,0,448.37,88.37,360
250,0,468.73,93.73,375
250,0,482.78,96.78,386
250,0,490.02,88.02,402
250,0,490.20,79.20,411
250,0,483.30,61.30,422
250,0,469.59,34.59,435
25,0,449.53,2.53,447
0,201,423.84,-20.16,444
0,250,393.44,-51.56,445
0,250,359.40,-80.60,440
0,250,322.94,-109.06,432
0,250,285.34,-138.66,424
0,250,247.94,-167.06,415
0,250,212.07,-197.93,410
0,250,179.01,-226.99,406
0,250,149.91,-251.09,401
0,250,125.83,-271.17,397
0,250,107.61,-278.39,386
0,250,95.90,-283.10,379
0,250,91.11,-283.89,375
0,250,93.42,-276.58,370
0,250,102.74,-262.26,365
0,250,118.75,-238.25,357
0,250,140.87,-210.13,351
0,250,168.31,-179.69,348
0,250,200.12,-141.88,342
0,250,235.15,-105.85,341
0,250,272.16,-64.84,337
0,221,309.84,-22.16,332
228,0,346.85,22.85,324
250,0,381.88,57.88,324
250,0,413.69,69.69,344
250,0,441.13,86.13,355
250,0,463.25,92.25,371
250,0,479.26,96.26,383
250,0,488.58,89.58,399
250,0,490.89,84.89,406
250,0,486.10,70.10,416
250,0,474.39,42.39,432
141,0,456.17,14.17,442
0,129,432.09,-12.91,445
0,250,402.99,-45.01,448
0,250,369.93,-71.07,441
0,250,334.06,-99.94,434
0,250,296.66,-130.34,427
0,250,259.06,-157.94,417
0,250,222.60,-189.40,412
0,250,188.56,-217.44,406
0,250,158.16,-244.84,403
0,250,132.47,-265.53,398
0,250,112.41,-275.59,388
0,250,98.70,-283.30,382
0,250,91.80,-284.20,376
0,250,91.98,-279.02,371
0,250,99.22,-266.78,366
0,250,113.27,-244.73,358
0,250,133.63,-218.37,352
0,250,159.57,-189.43,349
0,250,190.18,-153.82,344
0,250,224.37,-117.63,342
0,250,260.93,-77.07,338
0,250,298.55,-34.45,333
108,0,335.90,10.90,325
250,0,371.66,45.66,326
250,0,404.55,65.55,339
250,0,433.42,84.42,349
250,0,457.23,89.23,368
250,0,475.14,96.14,379
250,0,486.51,91.51,395
250,0,490.94,85.94,405
250,0,488.28,76.28,412
250,0,478.61,50.61,428
232,0,462.29,23.29,439
0,111,439.88,-11.12,451
0,250,412.19,-39.81,452
