-----NEW TEST-------
frequency:    1.472200 Hz
start time    113747 ms
stop time     120539 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
1,0,250,330.52,-101.48,432
2,0,250,334.14,-96.86,431
3,0,250,337.74,-96.26,434
4,0,250,341.33,-93.67,435
5,0,250,344.91,-88.09,433
6,0,250,348.46,-85.54,434
7,0,250,351.99,-84.01,436
8,0,250,355.51,-71.49,427
9,0,250,359.00,-64.00,423
10,0,250,362.47,-67.53,430
11,0,250,365.91,-56.09,422
12,0,250,369.33,-52.67,422
13,0,250,372.72,-46.28,419
14,0,250,376.08,-41.92,418
15,0,250,379.42,-41.58,421
16,0,250,382.72,-31.28,414
17,0,250,385.99,-30.01,416
18,0,237,389.23,-23.77,413
19,0,215,392.44,-21.56,414
20,0,163,395.61,-16.39,412
21,0,102,398.75,-10.25,409
22,0,61,401.84,-6.16,408
23,0,30,404.91,-3.09,408
24,9,0,407.93,0.93,407
25,19,0,410.91,1.91,409
26,8,0,413.85,0.85,413
27,47,0,416.75,4.75,412
28,126,0,419.60,12.60,407
29,144,0,422.42,14.42,408
30,191,0,425.18,19.18,406
31,169,0,427.90,16.90,411
32,195,0,430.58,19.58,411
33,202,0,433.20,20.20,413
34,250,0,435.78,28.78,407
35,250,0,438.31,29.31,409
36,250,0,440.79,31.79,409
37,250,0,443.21,31.21,412
38,250,0,445.59,31.59,414
39,250,0,447.91,35.91,412
40,250,0,450.18,36.18,414
41,250,0,452.39,37.39,415
42,250,0,454.55,34.55,420
43,250,0,456.65,38.65,418
44,250,0,458.69,37.69,421
45,250,0,460.68,42.68,418
46,250,0,462.61,35.61,427
47,250,0,464.48,37.48,427
48,250,0,466.29,36.29,430
49,250,0,468.04,37.04,431
50,250,0,469.74,40.74,429
51,250,0,471.37,40.37,431
52,250,0,472.93,41.93,431
53,250,0,474.44,47.44,427
54,250,0,475.88,43.88,432
55,250,0,477.26,44.26,433
56,250,0,478.58,46.58,432
57,250,0,479.83,42.83,437
58,250,0,481.02,44.02,437
59,250,0,482.14,44.14,438
60,250,0,483.19,45.19,438
61,250,0,484.19,46.19,438
62,250,0,485.11,46.11,439
63,250,0,485.97,45.97,440
64,250,0,486.76,44.76,442
65,250,0,487.48,44.48,443
66,250,0,488.14,46.14,442
67,250,0,488.73,48.73,440
68,250,0,489.25,44.25,445
69,250,0,489.71,44.71,445
70,250,0,490.09,44.09,446
71,250,0,490.41,43.41,447
72,250,0,490.66,43.66,447
73,250,0,490.84,40.84,450
74,250,0,490.95,42.95,448
75,250,0,491.00,39.00,452
76,250,0,490.98,36.98,454
77,250,0,490.88,37.88,453
78,250,0,490.72,36.72,454
79,250,0,490.49,32.49,458
80,250,0,490.20,30.20,460
81,250,0,489.83,27.83,462
82,250,0,489.40,28.40,461
83,250,0,488.89,25.89,463
84,250,0,488.32,28.32,460
85,250,0,487.69,25.69,462
86,249,0,486.98,24.98,462
87,202,0,486.21,20.21,466
88,203,0,485.37,20.37,465
89,184,0,484.47,18.47,466
90,174,0,483.50,17.50,466
91,184,0,482.46,18.46,464
92,193,0,481.36,19.36,462
93,141,0,480.19,14.19,466
94,139,0,478.96,13.96,465
95,136,0,477.66,13.66,464
96,93,0,476.30,9.30,467
97,78,0,474.88,7.88,467
98,73,0,473.39,7.39,466
