-----NEW TEST-------
frequency:    3.000000 Hz
start time    144172 ms
stop time     147505 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
199,0,250,131.43,-173.57,305
200,0,250,136.09,-169.91,306
201,0,250,140.97,-162.03,303
202,0,250,146.06,-155.94,302
203,0,250,151.36,-152.64,304
204,0,250,156.85,-145.15,302
205,0,250,162.54,-136.46,299
206,0,250,168.41,-127.59,296
207,0,250,174.45,-122.55,297
208,0,250,180.66,-119.34,300
209,0,250,187.03,-105.97,293
210,0,250,193.54,-105.46,299
211,0,250,200.19,-92.81,293
212,0,250,206.97,-83.03,290
213,0,250,213.88,-75.12,289
214,0,250,220.89,-68.11,289
215,0,250,228.00,-59.00,287
216,0,250,235.20,-52.80,288
217,0,250,242.48,-43.52,286
218,0,250,249.82,-35.18,285
219,0,250,257.23,-30.77,288
220,0,193,264.68,-19.32,284
221,0,148,272.18,-14.82,287
222,0,43,279.70,-4.30,284
223,32,0,287.23,3.23,284
224,97,0,294.77,9.77,285
225,193,0,302.30,19.30,283
226,218,0,309.82,21.82,288
227,250,0,317.32,31.32,286
228,250,0,324.77,40.77,284
229,250,0,332.18,48.18,284
230,250,0,339.52,53.52,286
231,250,0,346.80,56.80,290
232,250,0,354.00,67.00,287
233,250,0,361.11,71.11,290
234,250,0,368.12,75.12,293
235,250,0,375.03,82.03,293
236,250,0,381.81,86.81,295
237,250,0,388.46,93.46,295
238,250,0,394.97,93.97,301
239,250,0,401.34,96.34,305
240,250,0,407.55,100.55,307
241,250,0,413.59,107.59,306
242,250,0,419.46,111.46,308
243,250,0,425.15,116.15,309
244,250,0,430.64,118.64,312
245,250,0,435.94,122.94,313
246,250,0,441.03,128.03,313
247,250,0,445.91,131.91,314
248,250,0,450.57,131.57,319
249,250,0,455.00,138.00,317
250,250,0,459.20,142.20,317
251,250,0,463.16,141.16,322
252,250,0,466.87,144.87,322
253,250,0,470.34,141.34,329
254,250,0,473.55,146.55,327
255,250,0,476.50,145.50,331
256,250,0,479.18,150.18,329
257,250,0,481.60,151.60,330
258,250,0,483.75,146.75,337
259,250,0,485.63,149.63,336
260,250,0,487.22,148.22,339
261,250,0,488.54,148.54,340
262,250,0,489.58,148.58,341
263,250,0,490.34,149.34,341
264,250,0,490.81,148.81,342
265,250,0,491.00,146.00,345
266,250,0,490.90,146.90,344
267,250,0,490.52,143.52,347
268,250,0,489.86,141.86,348
269,250,0,488.91,138.91,350
270,250,0,487.68,140.68,347
271,250,0,486.18,137.18,349
272,250,0,484.39,133.39,351
273,250,0,482.33,132.33,350
274,250,0,480.00,125.00,355
275,250,0,477.40,122.40,355
276,250,0,474.54,115.54,359
277,250,0,471.41,109.41,362
278,250,0,468.03,108.03,360
279,250,0,464.39,103.39,361
280,250,0,460.51,99.51,361
281,250,0,456.39,96.39,360
282,250,0,452.04,87.04,365
283,250,0,447.45,76.45,371
284,250,0,442.64,70.64,372
285,250,0,437.62,69.62,368
286,250,0,432.39,59.39,373
287,250,0,426.96,50.96,376
288,250,0,421.33,46.33,375
289,250,0,415.52,40.52,375
290,250,0,409.53,33.53,376
291,250,0,403.37,27.37,376
292,190,0,397.06,19.06,378
293,95,0,390.59,9.59,381
294,59,0,383.98,5.98,378
295,0,37,377.24,-3.76,381
296,0,136,370.38,-13.62,384
297,0,175,363.40,-17.60,381
298,0,246,356.32,-24.68,381
299,0,250,349.15,-31.85,381
300,0,250,341.90,-39.10,381
301,0,250,334.57,-48.43,383
302,0,250,327.18,-56.82,384
303,0,250,319.74,-58.26,378
304,0,250,312.26,-61.74,374
305,0,250,304.75,-69.25,374
306,0,250,297.22,-77.78,375
307,0,250,289.68,-88.32,378
308,0,250,282.14,-90.86,373
309,0,250,274.62,-99.38,374
310,0,250,267.12,-103.88,371
311,0,250,259.65,-109.35,369
312,0,250,252.22,-115.78,368
313,0,250,244.86,-123.14,368
314,0,250,237.55,-129.45,367
315,0,250,230.33,-132.67,363
316,0,250,223.19,-139.81,363
317,0,250,216.14,-145.86,362
318,0,250,209.21,-149.79,359
319,0,250,202.38,-156.62,359
320,0,250,195.69,-159.31,355
321,0,250,189.13,-162.87,352
