-----NEW TEST-------
frequency:    0.555560 Hz
start time    72364 ms
stop time     90363 ms
Sample Prd    2 ms
Number Cylces 10 
N_sample,fluidInVoltage,fluidOutVoltage,pressureCommanded,pressureError,pressure
207,97,0,489.76,9.76,480
208,75,0,489.60,7.60,482
209,94,0,489.43,9.43,480
210,92,0,489.25,9.25,480
211,110,0,489.06,11.06,478
212,78,0,488.86,7.86,481
213,86,0,488.65,8.65,480
214,54,0,488.44,5.44,483
215,102,0,488.21,10.21,478
216,59,0,487.97,5.97,482
217,67,0,487.72,6.72,481
218,84,0,487.47,8.47,479
219,72,0,487.20,7.20,480
220,79,0,486.93,7.93,479
221,56,0,486.64,5.64,481
222,43,0,486.35,4.35,482
223,40,0,486.04,4.04,482
224,57,0,485.73,5.73,480
225,44,0,485.40,4.40,481
226,40,0,485.07,4.07,481
227,27,0,484.73,2.73,482
228,63,0,484.38,6.38,478
229,50,0,484.02,5.02,479
230,6,0,483.65,0.65,483
231,2,0,483.27,0.27,483
232,28,0,482.88,2.88,480
233,34,0,482.48,3.48,479
234,30,0,482.07,3.07,479
235,16,0,481.65,1.65,480
236,0,27,481.23,-2.77,484
237,0,2,480.79,-0.21,481
238,23,0,480.35,2.35,478
239,0,1,479.89,-0.11,480
240,0,5,479.43,-0.57,480
241,0,10,478.96,-1.04,480
242,0,25,478.47,-2.53,481
243,0,0,477.98,-0.02,478
244,0,55,477.48,-5.52,483
245,0,20,476.97,-2.03,479
246,0,45,476.45,-4.55,481
247,0,40,475.93,-4.07,480
248,0,46,475.39,-4.61,480
249,0,71,474.85,-7.15,482
250,0,57,474.29,-5.71,480
251,0,52,473.73,-5.27,479
252,0,68,473.16,-6.84,480
253,0,104,472.58,-10.42,483
254,0,40,471.99,-4.01,476
255,0,76,471.39,-7.61,479
256,0,82,470.78,-8.22,479
257,0,58,470.16,-5.84,476
258,0,94,469.54,-9.46,479
259,0,90,468.90,-9.10,478
260,0,127,468.26,-12.74,481
261,0,103,467.61,-10.39,478
262,0,130,466.95,-13.05,480
263,0,107,466.28,-10.72,477
264,0,143,465.61,-14.39,480
265,0,130,464.92,-13.08,478
266,0,157,464.23,-15.77,480
267,0,144,463.53,-14.47,478
268,0,161,462.82,-16.18,479
269,0,179,462.10,-17.90,480
270,0,166,461.37,-16.63,478
271,0,163,460.63,-16.37,477
272,0,171,459.89,-17.11,477
273,0,198,459.14,-19.86,479
274,0,176,458.38,-17.62,476
275,0,163,457.61,-16.39,474
276,0,191,456.83,-19.17,476
277,0,209,456.05,-20.95,477
278,0,187,455.26,-18.74,474
279,0,165,454.46,-16.54,471
280,0,213,453.65,-21.35,475
281,0,231,452.83,-23.17,476
282,0,199,452.01,-19.99,472
283,0,178,451.17,-17.83,469
284,0,176,450.33,-17.67,468
285,0,175,449.49,-17.51,467
286,0,183,448.63,-18.37,467
287,0,222,447.77,-22.23,470
288,0,191,446.90,-19.10,466
289,0,189,446.02,-18.98,465
290,0,198,445.13,-19.87,465
291,0,247,444.24,-24.76,469
292,0,226,443.34,-22.66,466
293,0,215,442.43,-21.57,464
294,0,204,441.51,-20.49,462
295,0,194,440.59,-19.41,460
296,0,193,439.66,-19.34,459
297,0,232,438.72,-23.28,462
298,0,172,437.78,-17.22,455
299,0,171,436.82,-17.18,454
300,0,171,435.86,-17.14,453
301,0,231,434.90,-23.10,458
302,0,190,433.93,-19.07,453
303,0,190,432.94,-19.06,452
304,0,190,431.96,-19.04,451
305,0,210,430.96,-21.04,452
306,0,190,429.96,-19.04,449
307,0,190,428.96,-19.04,448
308,0,190,427.94,-19.06,447
309,0,190,426.92,-19.08,446
310,0,161,425.89,-16.11,442
311,0,181,424.86,-18.14,443
312,0,201,423.82,-20.18,444
313,0,182,422.77,-18.23,441
314,0,172,421.72,-17.28,439
315,0,173,420.66,-17.34,438
316,0,214,419.59,-21.41,441
317,0,194,418.52,-19.48,438
318,0,185,417.44,-18.56,436
319,0,216,416.35,-21.65,438
320,0,217,415.26,-21.74,437
321,0,198,414.17,-19.83,434
322,0,199,413.06,-19.94,433
323,0,210,411.95,-21.05,433
324,0,171,410.84,-17.16,428
325,0,202,409.72,-20.28,430
326,0,164,408.59,-16.41,425
327,0,195,407.46,-19.54,427
328,0,166,406.32,-16.68,423
329,0,228,405.18,-22.82,428
330,0,169,404.03,-16.97,421
331,0,191,402.87,-19.13,422
332,0,162,401.71,-16.29,418
333,0,194,400.55,-19.45,420
334,0,196,399.38,-19.62,419
335,0,187,398.20,-18.80,417
336,0,199,397.02,-19.98,417
337,0,221,395.83,-22.17,418
338,0,243,394.64,-24.36,419
339,0,205,393.44,-20.56,414
340,0,197,392.24,-19.76,412
341,0,199,391.04,-19.96,411
342,0,221,389.82,-22.18,412
343,0,243,388.61,-24.39,413
344,0,236,387.39,-23.61,411
345,0,248,386.16,-24.84,411
346,0,250,384.93,-26.07,411
347,0,243,383.69,-24.31,408
348,0,225,382.46,-22.54,405
349,0,250,381.21,-26.79,408
350,0,250,379.96,-25.04,405
351,0,250,378.71,-26.29,405
352,0,250,377.45,-26.55,404
353,0,250,376.19,-26.81,403
354,0,250,374.93,-29.07,404
355,0,250,373.66,-29.34,403
356,0,250,372.38,-26.62,399
357,0,250,371.11,-32.89,404
358,0,250,369.82,-31.18,401
359,0,250,368.54,-30.46,399
360,0,250,367.25,-31.75,399
361,0,250,365.96,-31.04,397
362,0,250,364.66,-31.34,396
363,0,250,363.36,-28.64,392
364,0,250,362.06,-27.94,390
365,0,250,360.75,-27.25,388
366,0,250,359.44,-30.56,390
367,0,250,358.13,-26.87,385
368,0,250,356.81,-30.19,387
369,0,250,355.49,-30.51,386
370,0,250,354.17,-28.83,383
371,0,250,352.84,-30.16,383
372,0,250,351.51,-29.49,381
373,0,250,350.18,-28.82,379
374,0,250,348.84,-31.16,380
375,0,250,347.50,-29.50,377
376,0,250,346.16,-32.84,379
377,0,250,344.82,-32.18,377
378,0,250,343.47,-32.53,376
379,0,250,342.13,-33.87,376
380,0,250,340.77,-34.23,375
381,0,250,339.42,-35.58,375
382,0,250,338.06,-33.94,372
383,0,250,336.71,-36.29,373
384,0,250,335.35,-35.65,371
385,0,250,333.98,-37.02,371
386,0,250,332.62,-36.38,369
387,0,250,331.25,-36.75,368
388,0,250,329.88,-35.12,365
389,0,250,328.51,-36.49,365
390,0,250,327.14,-38.86,366
391,0,250,325.77,-35.23,361
392,0,250,324.39,-34.61,359
393,0,250,323.01,-36.99,360
394,0,250,321.63,-37.37,359
395,0,250,320.25,-37.75,358
396,0,250,318.87,-36.13,355
397,0,250,317.49,-36.51,354
398,0,250,316.10,-38.90,355
399,0,250,314.72,-38.28,353
400,0,250,313.33,-37.67,351
401,0,250,311.94,-37.06,349
402,0,250,310.55,-41.45,352
403,0,250,309.16,-39.84,349
404,0,250,307.77,-42.23,350
405,0,250,306.38,-42.62,349
406,0,250,304.99,-41.01,346
407,0,250,303.59,-44.41,348
408,0,250,302.20,-44.80,347
409,0,250,300.81,-45.19,346
410,0,250,299.41,-44.59,344
411,0,250,298.02,-47.98,346
412,0,250,296.62,-46.38,343
413,0,250,295.22,-47.78,343
414,0,250,293.83,-46.17,340
415,0,250,292.43,-50.57,343
416,0,250,291.03,-51.97,343
417,0,250,289.64,-51.36,341
418,0,250,288.24,-51.76,340
419,0,250,286.85,-54.15,341
420,0,250,285.45,-53.55,339
421,0,250,284.05,-53.95,338
422,0,250,282.66,-53.34,336
423,0,250,281.26,-54.74,336
424,0,250,279.87,-54.13,334
425,0,250,278.48,-51.52,330
426,0,250,277.08,-53.92,331
427,0,250,275.69,-55.31,331
428,0,250,274.30,-58.70,333
429,0,250,272.91,-54.09,327
430,0,250,271.52,-54.48,326
431,0,250,270.13,-58.87,329
432,0,250,268.74,-59.26,328
433,0,250,267.35,-57.65,325
434,0,250,265.97,-57.03,323
435,0,250,264.58,-55.42,320
436,0,250,263.20,-56.80,320
437,0,250,261.82,-57.18,319
438,0,250,260.44,-56.56,317
439,0,250,259.06,-58.94,318
440,0,250,257.68,-59.32,317
441,0,250,256.30,-59.70,316
442,0,250,254.93,-59.07,314
443,0,250,253.56,-59.44,313
444,0,250,252.19,-58.81,311
445,0,250,250.82,-62.18,313
446,0,250,249.45,-65.55,315
447,0,250,248.08,-63.92,312
448,0,250,246.72,-65.28,312
449,0,250,245.36,-65.64,311
450,0,250,244.00,-67.00,311
451,0,250,242.65,-63.35,306
452,0,250,241.29,-66.71,308
453,0,250,239.94,-66.06,306
454,0,250,238.59,-65.41,304
455,0,250,237.25,-70.75,308
456,0,250,235.90,-67.10,303
457,0,250,234.56,-68.44,303
458,0,250,233.22,-69.78,303
459,0,250,231.89,-71.11,303
460,0,250,230.56,-66.44,297
461,0,250,229.23,-68.77,298
462,0,250,227.90,-68.10,296
463,0,250,226.58,-71.42,298
464,0,250,225.26,-75.74,301
465,0,250,223.94,-70.06,294
466,0,250,222.63,-72.37,295
467,0,250,221.31,-68.69,290
468,0,250,220.01,-69.99,290
469,0,250,218.70,-71.30,290
470,0,250,217.40,-71.60,289
471,0,250,216.11,-72.89,289
472,0,250,214.81,-72.19,287
473,0,250,213.52,-72.48,286
474,0,250,212.24,-73.76,286
475,0,250,210.96,-75.04,286
476,0,250,209.68,-76.32,286
477,0,250,208.41,-78.59,287
478,0,250,207.14,-79.86,287
479,0,250,205.87,-77.13,283
480,0,250,204.61,-80.39,285
481,0,250,203.35,-79.65,283
482,0,250,202.10,-79.90,282
483,0,250,200.85,-81.15,282
484,0,250,199.61,-81.39,281
485,0,250,198.37,-81.63,280
486,0,250,197.13,-80.87,278
487,0,250,195.90,-85.10,281
488,0,250,194.67,-83.33,278
489,0,250,193.45,-84.55,278
490,0,250,192.24,-84.76,277
491,0,250,191.03,-85.97,277
492,0,250,189.82,-86.18,276
493,0,250,188.62,-88.38,277
494,0,250,187.42,-85.58,273
495,0,250,186.23,-88.77,275
496,0,250,185.04,-88.96,274
497,0,250,183.86,-88.14,272
498,0,250,182.68,-91.32,274
499,0,250,181.51,-90.49,272
500,0,250,180.35,-91.65,272
501,0,250,179.18,-88.82,268
502,0,250,178.03,-91.97,270
503,0,250,176.88,-89.12,266
504,0,250,175.74,-91.26,267
505,0,250,174.60,-88.40,263
506,0,250,173.47,-87.53,261
507,0,250,172.34,-86.66,259
508,0,250,171.22,-88.78,260
509,0,250,170.10,-89.90,260
510,0,250,168.99,-91.01,260
511,0,250,167.89,-90.11,258
512,0,250,166.79,-91.21,258
513,0,250,165.70,-90.30,256
514,0,250,164.62,-89.38,254
515,0,250,163.54,-90.46,254
516,0,250,162.46,-91.54,254
517,0,250,161.40,-90.60,252
518,0,250,160.34,-93.66,254
519,0,250,159.28,-93.72,253
520,0,250,158.23,-93.77,252
521,0,250,157.19,-92.81,250
522,0,250,156.16,-92.84,249
523,0,250,155.13,-95.87,251
524,0,250,154.11,-95.89,250
525,0,250,153.10,-95.90,249
526,0,250,152.09,-95.91,248
527,0,250,151.09,-95.91,247
528,0,250,150.09,-98.91,249
529,0,250,149.10,-96.90,246
530,0,250,148.12,-96.88,245
531,0,250,147.15,-96.85,244
532,0,250,146.18,-100.82,247
533,0,250,145.22,-97.78,243
534,0,250,144.27,-99.73,244
535,0,250,143.33,-98.67,242
536,0,250,142.39,-99.61,242
537,0,250,141.46,-98.54,240
538,0,250,140.53,-98.47,239
539,0,250,139.62,-97.38,237
540,0,250,138.71,-101.29,240
541,0,250,137.81,-100.19,238
542,0,250,136.91,-94.09,231
543,0,250,136.03,-98.97,235
544,0,250,135.15,-99.85,235
545,0,250,134.28,-93.72,228
546,0,250,133.41,-96.59,230
547,0,250,132.56,-98.44,231
548,0,250,131.71,-98.29,230
549,0,250,130.87,-96.13,227
550,0,250,130.04,-97.96,228
551,0,250,129.21,-99.79,229
552,0,250,128.39,-98.61,227
553,0,250,127.58,-96.42,224
554,0,250,126.78,-98.22,225
555,0,250,125.99,-98.01,224
556,0,250,125.21,-97.79,223
557,0,250,124.43,-99.57,224
558,0,250,123.66,-101.34,225
559,0,250,122.90,-98.10,221
560,0,250,122.15,-98.85,221
561,0,250,121.40,-99.60,221
562,0,250,120.67,-100.33,221
563,0,250,119.94,-101.06,221
564,0,250,119.22,-99.78,219
565,0,250,118.51,-102.49,221
566,0,250,117.81,-99.19,217
567,0,250,117.11,-101.89,219
568,0,250,116.43,-98.57,215
569,0,250,115.75,-104.25,220
570,0,250,115.08,-103.92,219
571,0,250,114.42,-102.58,217
572,0,250,113.77,-104.23,218
573,0,250,113.13,-101.87,215
574,0,250,112.49,-102.51,215
575,0,250,111.87,-105.13,217
576,0,250,111.25,-100.75,212
577,0,250,110.64,-104.36,215
578,0,250,110.04,-102.96,213
579,0,250,109.45,-102.55,212
580,0,250,108.87,-102.13,211
581,0,250,108.30,-101.70,210
582,0,250,107.74,-101.26,209
583,0,250,107.18,-103.82,211
584,0,250,106.64,-101.36,208
585,0,250,106.10,-103.90,210
586,0,250,105.57,-98.43,204
587,0,250,105.05,-101.95,207
588,0,250,104.54,-105.46,210
589,0,250,104.04,-105.96,210
590,0,250,103.55,-99.45,203
591,0,250,103.07,-103.93,207
592,0,250,102.60,-98.40,201
593,0,250,102.13,-96.87,199
594,0,250,101.68,-96.32,198
595,0,250,101.23,-98.77,200
596,0,250,100.80,-98.20,199
597,0,250,100.37,-97.63,198
598,0,250,99.95,-98.05,198
599,0,250,99.54,-98.46,198
600,0,250,99.14,-96.86,196
601,0,250,98.75,-96.25,195
602,0,250,98.37,-94.63,193
603,0,250,98.00,-96.00,194
604,0,250,97.64,-97.36,195
605,0,250,97.29,-95.71,193
